TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction
134.6741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.7074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.7407,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.7741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.8074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.8407,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.8852,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.9185,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.9518,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.9963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.0407,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.0741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.1074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.1407,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.1963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.2407,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.274,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.3074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.3629,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.3963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.4296,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.4629,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.4963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.5296,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.5629,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.5963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.6296,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.674,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.7074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.7518,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.7963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.8296,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.8629,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.8963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.9296,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.9629,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
135.9963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
136.0296,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
136.0629,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
136.1074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
136.1629,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
136.1963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
